year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
1,11-Jan-2013,1.0047992297161081,1.0038050556779203,0.9988632211440868,1.0039612332073709,1.0077281197810206,1.0018426889609282,1.0,1.0039750859513619
2,18-Jan-2013,1.005225489608912,1.0094629937841786,1.0162581798967605,1.0119561728088444,1.0029050143491072,1.013658503355019,1.0,1.0097875849555293
3,25-Jan-2013,1.0086092616589957,1.0114268025141657,1.016817981842179,1.0180428873894662,1.0047851316389713,1.0139336917562725,1.0,1.0122828941175706
4,1-Feb-2013,1.0067784095104482,1.006793261297706,1.001888016992153,1.0081901384429166,1.0093310177762396,1.0065838893553092,1.0,1.0065475747680452
5,8-Feb-2013,1.0019068853228503,1.003145713964723,1.0055159688279056,0.9987994109833194,1.0046459689849327,1.0027107111501317,1.0,1.0035665910194282
6,15-Feb-2013,1.001361560084329,1.0012253529477644,1.00817975948774,0.9991988834393271,0.9994238964015443,1.0103757374106626,1.0,1.0017921943365897
7,22-Feb-2013,0.9994882816497799,0.9972430401568637,0.992448153670391,1.0013453241938068,0.990535803234932,0.9924172669663651,1.0,0.9960899551136986
8,1-Mar-2013,1.000043884029139,1.0017154922143046,0.9997463563108501,1.0063633123508542,1.002504886426172,0.9984500354745403,1.0,1.0012762299936953
9,8-Mar-2013,1.021385211731149,1.0217230931366093,1.0259953161592508,1.021818127619829,1.0235445178468896,1.0303586850764705,1.0,1.0228990172338313
10,15-Mar-2013,1.0049837455425552,1.0061372632447556,1.0114319409571635,1.00812943189135,1.0014486633768653,1.0105888594164456,1.0,1.0067030590199657
11,22-Mar-2013,0.9983184894905593,0.9975587877234574,0.9941511669456303,0.9998566911784463,0.9987473338524562,0.9934801780614816,1.0,0.9973689617703481
12,28-Mar-2013,1.0057096364388998,1.0079003654721914,1.00522114184102,1.0045830941639453,1.0069399075500771,1.005569234996354,1.0,1.0077289563341498
13,5-Apr-2013,0.9927899286089388,0.989861011094896,0.9738228762843917,0.9990883860798131,0.9805173342473803,0.9703007755848414,1.0,0.9874515158249646
14,12-Apr-2013,1.0227165506297444,1.02289992789452,1.0177208340580128,1.0205839240658416,1.028431329708539,1.0211961701758947,1.0,1.0227760777199302
15,19-Apr-2013,0.9796471805194443,0.9788526292601568,0.9700364575421541,0.9786378258816312,0.9730223523877449,0.9678103621997136,1.0,0.9780642353301611
16,26-Apr-2013,1.016523501041637,1.0173541231313294,1.0237638491954744,1.0113448968242675,1.0228317623500496,1.024931506849315,1.0,1.0182456074928992
17,3-May-2013,1.0185991016282987,1.0203382546263526,1.0234034416826003,1.0177678240685673,1.030302568262352,1.0204971932638331,1.0,1.0196728776016313
18,10-May-2013,1.0099221387721353,1.01194236939582,1.0249233988491144,1.0096520893604632,1.0171519225248102,1.0217304750529117,1.0237637098325958,1.0131295874840924
19,17-May-2013,1.0189670464624412,1.019844524698537,1.0219111159721463,1.0156040715706396,1.0181546770335623,1.0216579843307765,1.0202988440936003,1.0203336815337203
20,24-May-2013,0.9942015400066956,0.9900847477972775,0.9867641812343916,0.9966589381545355,0.9886166500427269,0.9879551933191473,0.9881182647140094,0.9884859058894788
21,31-May-2013,0.9881603405080682,0.9885669253152279,0.9979753425648071,0.9877456201684626,0.9990662418982753,0.9998679237615313,1.000209731543624,0.9898262668251472
22,7-Jun-2013,1.009500701988741,1.0077510823307212,1.0037133644893672,1.008769103646108,1.0038513734443315,1.0035258852817153,1.0034015982852218,1.0066776115657678
23,14-Jun-2013,0.9885228193356738,0.9898684418698048,0.994351302088033,0.9883303646613484,0.9868385400752907,0.9936817804418704,0.9962384192072816,0.9904600875153369
24,21-Jun-2013,0.9801666439011064,0.9789147553681312,0.9860067516062289,0.9820320659739963,0.9806312727102782,0.9819641728993865,0.9775550635124112,0.9781710088014
25,28-Jun-2013,1.0042364614398394,1.0086973995717237,1.0133451138476264,1.0074462478208577,1.0137016903715839,1.0143201062593392,1.013375613943064,1.010630138183301
26,5-Jul-2013,1.0170547584024867,1.015943671090968,1.0320242679648333,1.015174116005795,1.0223697935796665,1.0285530138724066,1.0231983624685317,1.0172377353233975
27,12-Jul-2013,1.0273294128883492,1.0295975831704343,1.0277039514212796,1.0217008107908117,1.0346900884640367,1.0309631088433344,1.030812389339833,1.02970753454615
28,19-Jul-2013,1.0060695407336573,1.0070825323326529,1.0108924626213842,1.005136992945041,0.9965361880847092,1.0134681434029251,1.0038814160476477,1.0076210380776756
29,26-Jul-2013,1.0021781890668109,0.9997399665502427,0.9973231681490893,1.0009708088272191,1.0071217328527906,0.9981246668189779,0.9998222340732841,1.000570597016284
30,2-Aug-2013,1.0086147847621056,1.0106523216977508,1.011908199840318,1.0063970105721318,1.0211532287526708,1.0108248848365775,1.0251361262362484,1.0116504843328817
