year,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
2013,1.001734137644154,1.0017986451537166,1.0027256995153202,1.0017287784938318,1.0031356420285678,1.0020710729884252,1.0016977151792852,1.0017103746930869
2014,1.0040297419795483,1.004173148879515,1.002455828283128,1.0024553955343105,1.00436632411642,1.0024798723204282,1.0034059151650863,1.0039730264411513
2015,1.0020935642484758,1.0014969355263101,1.0021055503196494,1.0010101638310245,1.0029250302796306,1.0024076511016295,1.0020519624987165,1.0014196344497912
2016,0.9996973949960528,1.0000555219006861,1.0029188981556425,0.999493510954878,0.9989374228464611,1.003352008843836,1.0003343261957938,1.000511776146735
2017,1.0015770455158548,1.0019528382711906,1.0010575766115082,1.0025169391895032,1.0029237226412793,1.0016182107116958,1.002186383609639,1.001806099334786
2018,1.002431990821206,1.002227402186356,1.0062305403636382,1.00053539224454,1.0047297509750612,1.0055284044744508,1.0028479120375007,1.002557372667005
2019,1.002774436557206,1.0028639214501285,1.0011346649177975,1.0019680895400265,1.0027113882483993,1.0013297252257554,1.0005426945941267,1.0026633545118704
