year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
1,11-Jan-2013,1.0047992297161081,1.0038050556779203,0.9988632211440868,1.0039612332073709,1.0077281197810206,1.0018426889609282,1.0,1.0039750859513619
2,18-Jan-2013,1.005225489608912,1.0094629937841786,1.0162581798967605,1.0119561728088444,1.0029050143491072,1.013658503355019,1.0,1.0097875849555293
3,25-Jan-2013,1.0086092616589957,1.0114268025141657,1.016817981842179,1.0180428873894662,1.0047851316389713,1.0139336917562725,1.0,1.0122828941175706
4,1-Feb-2013,1.0067784095104482,1.006793261297706,1.001888016992153,1.0081901384429166,1.0093310177762396,1.0065838893553092,1.0,1.0065475747680452
5,8-Feb-2013,1.0019068853228503,1.003145713964723,1.0055159688279056,0.9987994109833194,1.0046459689849327,1.0027107111501317,1.0,1.0035665910194282
6,15-Feb-2013,1.001361560084329,1.0012253529477644,1.00817975948774,0.9991988834393271,0.9994238964015443,1.0103757374106626,1.0,1.0017921943365897
7,22-Feb-2013,0.9994882816497799,0.9972430401568637,0.992448153670391,1.0013453241938068,0.990535803234932,0.9924172669663651,1.0,0.9960899551136986
8,1-Mar-2013,1.000043884029139,1.0017154922143046,0.9997463563108501,1.0063633123508542,1.002504886426172,0.9984500354745403,1.0,1.0012762299936953
9,8-Mar-2013,1.021385211731149,1.0217230931366093,1.0259953161592508,1.021818127619829,1.0235445178468896,1.0303586850764705,1.0,1.0228990172338313
10,15-Mar-2013,1.0049837455425552,1.0061372632447556,1.0114319409571635,1.00812943189135,1.0014486633768653,1.0105888594164456,1.0,1.0067030590199657
11,22-Mar-2013,0.9983184894905593,0.9975587877234574,0.9941511669456303,0.9998566911784463,0.9987473338524562,0.9934801780614816,1.0,0.9973689617703481
12,28-Mar-2013,1.0057096364388998,1.0079003654721914,1.00522114184102,1.0045830941639453,1.0069399075500771,1.005569234996354,1.0,1.0077289563341498
52,3-Jan-2014,0.9941796042617961,0.9945530574562832,0.9924669583652846,0.9994890283710626,0.9940624406063624,0.9956937016079718,0.9953542164895911,0.9952588917287917
53,10-Jan-2014,1.0018126814212402,1.006006432343,0.9996060964154774,0.99799999878567,1.0103463047355823,1.0073004696866161,1.005888492821553,1.0068466633452307
54,17-Jan-2014,0.9992420074576686,0.9980080005644903,1.0000151561079116,1.0013086289814779,1.0054902674708839,1.0033489905798907,0.9933628318584071,0.9988735000379835
55,24-Jan-2014,0.9742454088311941,0.9736716158155218,0.9812370227792849,0.9647933962630996,0.983464281800466,0.9792028619600661,0.9738652265604982,0.9747910759763028
56,31-Jan-2014,0.9917365750740946,0.9956990208290277,0.9877670172837218,0.98864797838166,0.9941160368880158,0.9884191481737216,0.9967416162392989,0.9955309692661288
57,7-Feb-2014,1.0070786374572622,1.0080949629471725,0.9878344357398634,1.0060660494240024,1.0053559070928,0.987328452178834,0.9978071065989847,1.0056769871602182
58,14-Feb-2014,1.0217279231475311,1.023155001057306,1.0267361056147404,1.0228129780272102,1.0286413014498796,1.0292508172495634,1.0266370925074273,1.0242359901277585
59,21-Feb-2014,0.9935513248089395,0.9987055579425985,1.0101137800252844,0.9968373921887487,1.0045664144692663,1.0134179131751377,1.0130621791441201,1.0007035122981767
60,28-Feb-2014,1.013513680898765,1.012634445200817,1.0185445221160598,1.0135630585035365,1.010486910712317,1.0157990091273623,1.0181960477401681,1.0128079412881263
61,7-Mar-2014,1.0103392647633946,1.009997579929549,1.0208142897816672,1.008026732493103,1.0065225666880218,1.0171508752947938,1.0156225980015372,1.010553821094068
62,14-Mar-2014,0.9797387202128947,0.9803465314902772,0.9829864067408473,0.9764750144656932,0.9790554907269464,0.9817920420170861,0.9803795432614989,0.9809648247137753
63,21-Mar-2014,1.01690227791839,1.013725266548261,1.0129175813508953,1.0147581769076546,1.007393885146276,1.010428217130378,1.0087424733672998,1.0130337001725103
64,28-Mar-2014,0.9984944878830557,0.995295756536648,0.9719437400483576,1.001244573774886,0.9717007381704503,0.9648831812889012,0.9812891006141305,0.9920143605318844
104,2-Jan-2015,0.9837611655537247,0.9853645925592572,0.9861543737318892,0.9877742580333905,0.9833467169836444,0.9864961611573307,0.9856311319373261,0.9861892215679868
105,9-Jan-2015,0.9940826446280991,0.9934943154212419,0.9863366996537086,0.9946380276106249,0.9951891444758726,0.9890557223890558,0.9904730068527494,0.9932004502017214
106,16-Jan-2015,0.9863323467792889,0.9875831984389748,0.9963862855128243,0.9872698150853255,0.9851851694383801,0.9923841171310978,0.9889376382795215,0.9885619167755715
107,23-Jan-2015,1.0149921330636098,1.0160442107139673,1.0081677183464057,1.0091956346575435,1.0266486563466959,1.0104364084477118,1.0173669042924314,1.0159814903804734
108,30-Jan-2015,0.9697278384303651,0.9723026386330185,0.9803457050100903,0.9712747416905267,0.9742238139675653,0.9802006846492224,0.9790905702571747,0.9741887856965857
