year,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
2013,1.0066439181989362,1.0065415070941601,1.007102505365152,1.0059353412297716,1.007299626439994,1.006001965423386,1.0066590741992365,1.0063363911343446
2014,1.0031739188997337,1.0040111132425877,1.0064611851274283,1.004124175717804,1.0048781241919764,1.0063420731911377,1.0034705728847917,1.004124424319177
2015,1.0048363465260146,1.0040557204918206,1.000949912907877,1.00471414645127,1.0047421213046532,1.0008289023115382,1.000409250709385,1.0033525308940783
2016,1.0025872648297336,1.002466405309675,1.0078567979442827,1.0058977038933326,1.0010235788502655,1.0062432154351697,1.0067598782413958,1.0029998831286622
2017,1.0047689762110232,1.004581595724553,1.0027025668619094,1.0075896498348922,1.0046903616326752,1.0022725351297197,1.0036241308241927,1.0044019112739029
2018,0.9878665984439303,0.9878475643982776,0.9821472815348795,0.9894889618318662,0.98469546680095,0.981897214267862,0.9818531548323179,0.9871427638797647
2019,1.0077850309860723,1.006930496838829,1.0056991972977487,1.005076749801191,1.0097466683608738,1.0071962730684938,1.0064920779146067,1.006913465352029
